file,compression,encoding,size
normal_200M_uint32.txt,,PLAIN,800042947
normal_200M_uint32.txt,,DICT,811851139
normal_200M_uint32.txt,,FOR,363952796
normal_200M_uint32.txt,,LECO,57392053
normal_200M_uint32.txt,.zstd,PLAIN,597909577
normal_200M_uint32.txt,.zstd,DICT,609191425
normal_200M_uint32.txt,.zstd,FOR,133456578
normal_200M_uint32.txt,.zstd,LECO,9819885
linear_200M_uint32.txt,,PLAIN,800042947
linear_200M_uint32.txt,,DICT,811851139
linear_200M_uint32.txt,,FOR,401564288
linear_200M_uint32.txt,,LECO,52506806
linear_200M_uint32.txt,.zstd,PLAIN,627162592
linear_200M_uint32.txt,.zstd,DICT,638444442
linear_200M_uint32.txt,.zstd,FOR,11599177
linear_200M_uint32.txt,.zstd,LECO,2506080
books_200M_uint32.txt,,PLAIN,800042923
books_200M_uint32.txt,,DICT,811851115
books_200M_uint32.txt,,FOR,266756992
books_200M_uint32.txt,,LECO,208904981
books_200M_uint32.txt,.zstd,PLAIN,580501955
books_200M_uint32.txt,.zstd,DICT,591783803
books_200M_uint32.txt,.zstd,FOR,255387412
books_200M_uint32.txt,.zstd,LECO,196318137
ml_timestamp_200M.csv,,PLAIN,1600095199
ml_timestamp_200M.csv,,DICT,1604963933
ml_timestamp_200M.csv,,FOR,288374943
ml_timestamp_200M.csv,,LECO,163955388
ml_timestamp_200M.csv,.zstd,PLAIN,203737099
ml_timestamp_200M.csv,.zstd,DICT,209923706
ml_timestamp_200M.csv,.zstd,FOR,261552806
ml_timestamp_200M.csv,.zstd,LECO,138757046
poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,,PLAIN,1600222531
poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,,DICT,1605799607
poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,,FOR,765025800
poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,,LECO,454844104
poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,.zstd,PLAIN,1076119787
poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,.zstd,DICT,1081535899
poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,.zstd,FOR,750308319
poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,.zstd,LECO,432520993
